Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bulgaria,BGR,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.37997322,17.37691945,16.88043603,16.94682785,18.75719127,22.40548492,24.92435415,27.23346083,37.22401506,49.48910705,62.19053949,79.67565809,102.5879601,126.3743982,80.59661426,87.35784998,111.5612154,112.0015013,117.4740447,118.6445743,100,99.06719121,117.0465443,129.6191881,128.9581026,120.0310674,158.1736019,
Bahrain,BHR,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,28.07136544,33.23933512,29.12997789,26.28960153,28.04525074,25.03988429,19.38492387,21.8715428,20.90263916,25.25637836,29.91664286,33.16856751,34.36041329,31.09567309,30.20817638,29.94490054,34.42910393,32.44636035,28.74023129,29.80127837,37.34208719,34.70466184,40.40280302,45.59464783,59.51665745,75.70443178,84.74804272,92.58874949,120.7328924,81.40201687,98.81076502,102.5987797,87.78013084,80.57207898,98.45558676,100,93.32208535,105.9467228,119.8565107,106.8348664,102.2173625,114.346603,
"Bahamas, The",BHS,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,255.4363575,246.5971564,214.9224781,156.2711578,138.7234259,104.1926202,111.3388626,104.2643873,77.55280975,106.1882194,37.63710224,36.93703454,35.12322276,32.29180772,35.74407584,42.08192282,46.24238322,56.3913338,63.41570753,59.47528776,70.19634395,64.72579554,58.49695329,59.64793502,64.48882872,78.25321602,92.32566017,100.0778605,108.2938389,85.82599866,87.6980366,100.3960731,114.6073121,107.1748815,113.2092079,100,89.08598511,105.2471226,112.281652,101.8686527,68.51726474,108.3716994,
Bosnia and Herzegovina,BIH,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.04045703,20.94282821,25.96153997,32.37769108,36.66028265,35.39561769,37.32687915,43.09232832,53.42535507,65.81697727,78.67470536,81.73489543,108.1644331,135.6344019,97.62933362,102.6329225,122.9704006,111.491928,114.6514129,122.2777517,100,101.7743449,116.8855214,129.4188665,124.1777489,109.8631533,144.9917281,
Belarus,BLR,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.58193194,23.17664827,29.01982354,28.55390587,22.28956776,28.8775433,27.67450716,30.36747784,38.60269778,55.0778135,55.80324228,74.65036321,95.83241628,131.530059,95.41793327,116.5108107,152.735069,154.9865558,143.4410864,135.2742996,100,91.72636775,114.3275543,128.2823687,131.8486171,109.4403285,138.2277039,
Belize,BLZ,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,15.10770755,16.33948685,12.91300168,11.27769107,13.12838651,12.92611645,12.30417383,14.42069551,18.25726937,21.75992107,21.31654105,25.85122406,27.64492071,28.34403868,26.22247286,25.94908041,25.77455312,28.87367352,29.77657481,37.31746514,52.89145311,52.15642084,52.96348344,55.65342311,52.42729123,59.81746265,66.61726772,69.04017055,84.45103096,67.45459517,71.18831715,83.85683114,86.87262235,93.60148492,97.08949943,100,96.11934033,92.40301885,96.6218377,99.46037775,79.40406498,106.9951143,
Bermuda,BMU,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,38.50727732,39.89180864,43.38898641,46.69455493,51.18933697,45.17707714,55.29134815,47.19993134,54.84182499,60.12372207,66.8665694,57.31420234,63.15800337,60.01134128,61.80943391,58.88650962,60.92077086,66.27408992,67.34475372,76.23126336,76.98072803,77.08779444,79.97858667,89.18629551,105.7815845,105.4603854,117.1306209,124.9464668,124.0899357,113.9186296,104.0685225,96.35974303,96.35974303,108.3511777,103.0373662,100,104.6038544,117.2376874,117.8800856,122.6980727,95.61027837,116.1670235,
Bolivia,BOL,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,6.813124798,9.39031673,5.673508342,5.90491294,5.001820654,7.074222907,6.901181416,7.846254182,6.046213095,6.255091582,7.036338084,9.926847747,11.16373605,12.34738081,12.37912215,14.57848976,16.74099646,18.95162713,20.30421773,17.97071736,18.73455732,17.48538205,18.17323734,16.54550053,19.21740453,24.88955106,29.85459272,36.71424418,52.0288463,46.53626358,57.23933042,81.16894148,87.83424379,95.61053391,107.703554,100,86.28455942,95.09929727,102.3499283,100.1782588,72.49308655,97.87683325,
Brazil,BRA,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,13.83484446,13.34598853,11.67767069,9.312095741,8.430270594,7.943631697,8.622598266,9.190158889,8.898618959,11.01616326,12.48433839,12.71989822,12.78568869,15.37512862,19.95147413,29.99961163,31.57535956,35.59906922,33.60937993,28.68586034,32.49644839,32.35159661,27.55314606,28.1951708,36.81329726,43.01654406,53.77842485,70.99101404,101.9175106,75.0179269,107.0508178,132.2762317,130.4466589,139.7989774,133.4162271,100,80.4874234,91.90675118,106.8601656,107.0384818,92.1732825,130.0509853,
Barbados,BRB,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,32.417996,35.56862031,34.22209614,38.59403543,40.9328394,37.74754462,36.49588527,32.00961378,35.96458049,41.84972176,43.50549906,43.19037482,32.39797242,35.66237271,37.96292175,47.6244861,51.52012368,61.52307778,62.4068347,68.47880093,71.44525772,67.17788603,64.21142924,73.85241378,87.32198165,99.15690824,104.8989179,107.9159281,118.6698902,89.57624164,96.99170376,111.545388,109.9842283,108.703955,107.4805081,100,100.2129668,98.89190477,97.51274952,97.70124319,92.50431986,103.3516017,
